word;count
what;36
you;32
my;30
dancing's;30
the;25
me;25
to;24
of;22
i;21
dancing;21
is;19
soul;19
whole;19
do;17
so;13
when;12
love;12
think;11
clears;11
makes;11
are;8
sweet;8
on;7
know;7
in;6
until;6
say;6
don't;5
that;5
it's;5
you're;4
yeah;4
oh;4
get;4
up;4
floor;4
all;3
time;3
mind;3
we;3
moonlight;3
gazing;3
at;3
stars;3
bright;3
holding;3
sunrise;3
sleeping;3
midnight;3
your;3
unrated;3
far;3
away;3
down;3
'til;3
break;3
dawn;3
baby;2
and;2
why;2
but;2
feelin';2
fine;2
can't;2
see;2
honey;2
for;2
were;2
meant;2
be;2
eyes;2
true;2
best;2
thing;2
has;2
happened;2
go;2
destiny;2
everything;2
beyond;2
ready;2
every;1
look;1
smile;1
with;1
pride;1
happy;1
mine;1
joy;1
ahead;1
now;1
always;1
forever;1
words;1
can;1
not;1
explain;1
unknown;1
night;1
long;1
sing;1
i'm;1
no;1
ooh;1
null;0
